scenario,run_id,player,total_reward,EV_per_round,ROI
sim1_BS_HiLo_AC,116,AC,-200.0,-0.4,-0.2
sim1_BS_HiLo_AC,116,BS,355.0,0.71,0.355
sim1_BS_HiLo_AC,116,HiLo,341.0,0.682,0.341
sim1_BS_HiLo_AC,117,AC,-451.0,-0.902,-0.451
sim1_BS_HiLo_AC,117,BS,-105.0,-0.21,-0.105
sim1_BS_HiLo_AC,117,HiLo,159.0,0.318,0.159
sim1_BS_HiLo_AC,118,AC,413.0,0.826,0.413
sim1_BS_HiLo_AC,118,BS,455.0,0.91,0.455
sim1_BS_HiLo_AC,118,HiLo,53.0,0.106,0.053
sim1_BS_HiLo_AC,119,AC,-331.0,-0.662,-0.331
sim1_BS_HiLo_AC,119,BS,-340.0,-0.68,-0.34
sim1_BS_HiLo_AC,119,HiLo,59.0,0.118,0.059
sim1_BS_HiLo_AC,120,AC,345.0,0.69,0.345
sim1_BS_HiLo_AC,120,BS,90.0,0.18,0.09
sim1_BS_HiLo_AC,120,HiLo,-134.0,-0.268,-0.134
sim1_BS_HiLo_AC,121,AC,70.0,0.14,0.07
sim1_BS_HiLo_AC,121,BS,100.0,0.2,0.1
sim1_BS_HiLo_AC,121,HiLo,690.0,1.38,0.69
sim1_BS_HiLo_AC,122,AC,357.0,0.714,0.357
sim1_BS_HiLo_AC,122,BS,-65.0,-0.13,-0.065
sim1_BS_HiLo_AC,122,HiLo,551.0,1.102,0.551
sim1_BS_HiLo_AC,123,AC,529.0,1.058,0.529
sim1_BS_HiLo_AC,123,BS,-25.0,-0.05,-0.025
sim1_BS_HiLo_AC,123,HiLo,-20.0,-0.04,-0.02
sim1_BS_HiLo_AC,124,AC,733.0,1.466,0.733
sim1_BS_HiLo_AC,124,BS,365.0,0.73,0.365
sim1_BS_HiLo_AC,124,HiLo,675.0,1.35,0.675
sim1_BS_HiLo_AC,125,AC,119.0,0.238,0.119
sim1_BS_HiLo_AC,125,BS,-70.0,-0.14,-0.07
sim1_BS_HiLo_AC,125,HiLo,502.0,1.004,0.502
sim1_BS_HiLo_AC,126,AC,955.0,1.91,0.955
sim1_BS_HiLo_AC,126,BS,375.0,0.75,0.375
sim1_BS_HiLo_AC,126,HiLo,116.0,0.232,0.116
sim1_BS_HiLo_AC,127,AC,-193.0,-0.386,-0.193
sim1_BS_HiLo_AC,127,BS,95.0,0.19,0.095
sim1_BS_HiLo_AC,127,HiLo,493.0,0.986,0.493
sim1_BS_HiLo_AC,128,AC,309.0,0.618,0.309
sim1_BS_HiLo_AC,128,BS,130.0,0.26,0.13
sim1_BS_HiLo_AC,128,HiLo,407.0,0.814,0.407
sim1_BS_HiLo_AC,129,AC,523.0,1.046,0.523
sim1_BS_HiLo_AC,129,BS,270.0,0.54,0.27
sim1_BS_HiLo_AC,129,HiLo,132.0,0.264,0.132
sim1_BS_HiLo_AC,130,AC,17.0,0.034,0.017
sim1_BS_HiLo_AC,130,BS,0.0,0.0,0.0
sim1_BS_HiLo_AC,130,HiLo,371.0,0.742,0.371
